# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 313 607 940 529
p 2 0 352 568 1075 589
p 2 0 471 449 3459 721
p 2 0 372 548 1232 592
p 2 0 462 458 3034 710
p 2 0 374 546 1181 607
p 2 0 483 437 4399 728
p 2 0 398 522 1607 632
p 2 0 359 561 1246 574
p 2 0 411 509 1764 635
p 2 0 379 541 1349 603
p 2 0 500 420 4429 754
p 2 0 462 458 2689 721
i 2 920 0 0 26433 3540
p 2 0 680 240 12847 1191
p 2 0 665 255 8232 997
p 2 0 606 314 3511 867
p 2 0 600 320 4132 874
p 2 0 617 303 4719 901
p 2 0 635 285 4115 916
p 2 0 609 311 4616 867
p 2 0 567 353 3158 816
p 2 0 559 361 2539 798
p 2 21 617 282 16415 1484
p 2 0 606 314 4522 948
p 2 57 598 265 20219 1622
p 2 0 648 272 6197 1028
p 2 39 608 273 22541 1632
p 2 0 616 304 4590 935
p 2 117 575 228 26774 1966
p 2 0 663 257 4685 1021
p 2 3 650 267 18002 1246
p 2 0 616 304 3909 921
p 2 2 634 284 14840 1140
p 2 0 645 275 7043 962
p 2 3 656 261 13811 1137
p 2 0 625 295 3493 906
p 2 2 640 278 6489 938
p 2 0 639 281 3477 905
p 2 0 592 328 4843 876
p 2 0 638 282 5731 924
p 2 0 590 330 4668 850
p 2 0 619 301 3367 870
p 2 1 577 342 3655 844
p 2 0 636 284 4642 890
p 2 0 593 327 3492 848
p 2 0 615 305 7093 887
p 2 0 567 353 3747 831
p 2 0 610 310 3870 878
p 2 0 630 290 6013 936
p 2 0 607 313 4675 879
p 2 0 598 322 3909 881
p 2 0 566 354 2699 817
p 2 0 606 314 5081 869
p 2 0 594 326 4347 843
p 2 2 574 344 4797 864
p 2 0 616 304 3347 864
p 2 0 591 329 3491 836
p 2 0 612 308 5848 901
p 2 0 609 311 4477 873
p 2 0 589 331 5440 879
p 2 0 597 323 5620 877
p 2 0 625 295 3499 890
p 2 0 574 346 5157 852
p 2 0 611 309 4955 894
i 2 920 0 0 31525 3611
p 2 7 720 193 16390 1286
p 2 0 681 239 6824 1063
p 2 0 674 246 5055 1013
p 2 0 656 264 4527 967
p 2 0 639 281 3184 919
p 2 0 656 264 3798 953
p 2 0 665 255 7642 999
p 2 0 621 299 4760 922
p 2 0 654 266 6363 954
p 2 0 639 281 5799 940
p 2 0 656 264 4536 958
p 2 0 635 285 3386 905
p 2 0 614 306 2546 882
p 2 0 587 333 2752 857
p 2 0 599 321 2487 860
p 2 0 593 327 3068 850
p 2 0 624 296 5065 899
p 2 0 645 275 2909 924
p 2 0 572 348 2143 843
p 2 0 586 334 2363 855
p 2 0 591 329 2942 852
p 2 0 620 300 4142 895
p 2 0 609 311 3261 875
p 2 0 602 318 3305 862
p 2 0 627 293 3005 886
p 2 0 584 336 3414 848
p 2 0 606 314 3158 870
p 2 0 572 348 2969 835
p 2 0 537 383 1962 791
p 2 0 587 333 2313 841
p 2 0 574 346 2822 836
p 2 0 580 340 3016 836
p 2 0 596 324 3217 860
p 2 0 528 392 1934 787
p 2 0 563 357 2564 822
p 2 0 579 341 2719 837
p 2 0 543 377 1897 781
p 2 0 571 349 3824 821
p 2 0 591 329 3283 836
p 2 0 562 358 2141 804
p 2 0 602 318 4277 868
p 2 0 630 290 4150 904
p 2 0 607 313 2543 869
p 2 0 620 300 2503 891
p 2 0 558 362 2419 812
p 2 0 551 369 1934 802
p 2 0 543 377 2147 791
p 2 0 601 319 3565 848
p 2 0 587 333 2319 841
p 2 0 569 351 2957 830
p 2 0 559 361 2548 789
p 2 0 571 349 2284 817
p 2 0 523 397 1787 773
p 2 0 562 358 2058 806
p 2 0 593 327 3653 845
p 2 0 603 317 3671 859
p 2 0 614 306 4331 862
p 2 0 647 273 9893 958
i 2 920 0 0 17207 3369
p 2 0 655 265 5034 1053
p 2 0 636 284 2668 915
p 2 0 600 320 2109 894
p 2 0 590 330 1750 854
p 2 0 549 371 1459 798
p 2 0 552 368 1401 786
p 2 0 600 320 1812 833
